"Order ID","Flavor","Category","$ Sales","Date Ordered","Date Delivered","Distribution Center","New Customer?","Service Satisfaction Rating","Product Satisfaction Rating",""
"92145","Beet","Juices","605.97","1/1/2018","1/3/2018","ID","Yes","3","",""
"92145","Apple","Juices","1549.00","1/1/2018","1/3/2018","ID","Yes","5","4",""
"92145","Apple","Juices","1986.28","1/1/2018","1/3/2018","ID","Yes","5","4",""
"92145","Orange","Juices","16.43","1/1/2018","1/3/2018","ID","Yes","5","3",""
"92145","Cucumber","Juices","1594.93","1/1/2018","1/3/2018","ID","Yes","","",""
"92145","Pear","Juices","590.15","1/1/2018","1/3/2018","ID","Yes","","5",""
"92146","Beet","Juices","1764.92","1/1/2018","1/3/2018","MS","Yes","3","",""
"92146","Pear","Juices","428.46","1/1/2018","1/3/2018","MS","Yes","5","",""
"92146","Cucumber","Smoothies","138.92","1/1/2018","1/3/2018","MS","Yes","","3",""
"92146","Orange","Juices","6.50","1/1/2018","1/3/2018","MS","Yes","","4",""
"92147","Beet","Juices","872.00","1/1/2018","1/3/2018","ND","No","3","",""
"92147","Orange","Smoothies","1437.94","1/1/2018","1/3/2018","ND","No","3","",""
"92150","Grape","Juices","1366.97","1/1/2018","1/3/2018","NE","Yes","3","5",""
"92151","Apple","Juices","1786.11","1/1/2018","1/3/2018","NE","Yes","5","",""
"92152","Orange","Smoothies","63.72","1/1/2018","1/3/2018","NM","Yes","3","3",""
"92152","Tomato","Smoothies","1971.52","1/1/2018","1/3/2018","NM","Yes","3","",""
"92153","Carrot","Smoothies","1366.25","1/1/2018","1/3/2018","NM","No","5","",""
"92737","Orange","Juices","920.78","3/10/2018","3/12/2018","NE","No","3","",""
"92974","Orange","Juices","81.29","3/29/2018","3/31/2018","RI","No","4","",""
"92156","Orange","Juices","312.87","1/1/2018","1/3/2018","RI","Yes","","4",""
"93205","Orange","Juices","543.54","4/19/2018","4/21/2018","MS","No","3","",""
"92199","Apple","Juices","1128.87","1/5/2018","1/7/2018","MS","No","","",""
"92199","Orange","Smoothies","1629.45","1/5/2018","1/7/2018","MS","No","","",""
